StartTime,Dur,Proto,SrcAddr,DstAddr,State,TotPkts,TotBytes,SrcBytes
2025/05/17 09:42:24.080985,0.40671897,tcp,140.82.112.22,192.168.150.67,CON,4,281,168
2025/05/17 09:42:21.279890,0.0,udp,192.168.150.67,8.8.8.8,CON,1,71,42
2025/05/17 09:42:25.883594,0.0,udp,192.168.150.67,8.8.8.8,CON,1,70,42
2025/05/17 09:42:25.883398,0.0,udp,192.168.150.67,8.8.8.8,CON,1,85,51
2025/05/17 09:42:20.923794,0.0,udp,192.168.150.67,8.8.8.8,CON,1,79,47
2025/05/17 09:42:20.951642,0.0,udp,192.168.150.67,8.8.8.8,CON,1,79,47
2025/05/17 09:42:20.951772,0.0,udp,192.168.150.67,8.8.8.8,CON,1,79,47
2025/05/17 09:42:25.883326,0.0,udp,192.168.150.67,8.8.8.8,CON,1,85,51
2025/05/17 09:42:21.279733,0.0,udp,192.168.150.67,8.8.8.8,CON,1,71,42
2025/05/17 09:42:25.883157,0.0,udp,192.168.150.67,8.8.8.8,CON,1,70,42
2025/05/17 09:42:20.924360,0.0,udp,192.168.150.67,8.8.8.8,CON,1,79,47
2025/05/17 09:42:25.883460,0.0,udp,192.168.150.67,8.8.8.8,CON,1,85,51
2025/05/17 09:42:25.883824,0.0,udp,192.168.150.67,8.8.8.8,CON,1,85,51
2025/05/17 09:42:20.951435,0.0,udp,192.168.150.67,8.8.8.8,CON,1,79,47
2025/05/17 09:42:21.279974,0.0,udp,192.168.150.67,8.8.8.8,CON,1,71,42
2025/05/17 09:42:25.883106,0.0,udp,192.168.150.67,8.8.8.8,CON,1,70,42
2025/05/17 09:42:25.884161,0.0,udp,192.168.150.67,8.8.8.8,CON,1,70,42
2025/05/17 09:42:20.924144,0.0,udp,192.168.150.67,8.8.8.8,CON,1,79,47
2025/05/17 09:42:25.884366,0.0,udp,192.168.150.67,8.8.8.8,CON,1,85,51
2025/05/17 09:42:25.884212,0.0,udp,192.168.150.67,8.8.8.8,CON,1,70,42
2025/05/17 09:42:25.883708,0.0,udp,192.168.150.67,8.8.8.8,CON,1,70,42
2025/05/17 09:42:25.884315,0.0,udp,192.168.150.67,8.8.8.8,CON,1,85,51
2025/05/17 09:42:24.081021,0.000169993,tcp,192.168.150.67,140.82.112.22,CON,2,108,64
2025/05/17 09:42:21.709481,0.0,tcp,192.168.150.67,23.215.0.136,CON,1,66,39
2025/05/17 09:42:21.709598,0.0,tcp,192.168.150.67,23.215.0.136,CON,1,66,39
2025/05/17 09:42:21.974335,5.620326996,tcp,192.168.150.67,23.215.0.136,CON,7,3858,2314
2025/05/17 09:42:25.884084,0.0,udp,192.168.150.67,8.8.8.8,CON,1,70,42
2025/05/17 09:42:25.883950,0.0,udp,192.168.150.67,8.8.8.8,CON,1,85,51
2025/05/17 09:42:25.883889,0.0,udp,192.168.150.67,8.8.8.8,CON,1,85,51
2025/05/17 09:42:25.883658,0.0,udp,192.168.150.67,8.8.8.8,CON,1,70,42
2025/05/17 09:42:25.884421,0.0,udp,192.168.150.67,8.8.8.8,CON,1,85,51
2025/05/17 09:42:25.882977,0.0,udp,192.168.150.67,8.8.8.8,CON,1,70,42
2025/05/17 09:42:22.139763,1.042172909,tcp,23.215.0.136,192.168.150.67,CON,2,132,79
2025/05/17 09:42:22.047696,3.239656925,tcp,23.215.0.136,192.168.150.67,CON,3,198,118
2025/05/17 09:42:22.384175,1.838243008,tcp,23.215.0.136,192.168.150.67,CON,4,765,459
2025/05/17 09:42:21.384296,0.0,udp,8.8.8.8,192.168.150.67,CON,1,167,100
2025/05/17 09:42:25.946171,0.0,udp,8.8.8.8,192.168.150.67,CON,1,126,75
2025/05/17 09:42:25.974286,0.0,udp,8.8.8.8,192.168.150.67,CON,1,117,70
2025/05/17 09:42:20.978705,0.0,udp,8.8.8.8,192.168.150.67,CON,1,131,78
2025/05/17 09:42:20.998267,0.0,udp,8.8.8.8,192.168.150.67,CON,1,95,57
2025/05/17 09:42:21.024393,0.0,udp,8.8.8.8,192.168.150.67,CON,1,129,77
2025/05/17 09:42:25.959453,0.0,udp,8.8.8.8,192.168.150.67,CON,1,141,84
2025/05/17 09:42:21.302846,0.0,udp,8.8.8.8,192.168.150.67,CON,1,239,143
2025/05/17 09:42:25.944434,0.0,udp,8.8.8.8,192.168.150.67,CON,1,146,87
2025/05/17 09:42:21.026633,0.0,udp,8.8.8.8,192.168.150.67,CON,1,153,91
2025/05/17 09:42:25.974286,0.0,udp,8.8.8.8,192.168.150.67,CON,1,158,94
2025/05/17 09:42:25.987337,0.0,udp,8.8.8.8,192.168.150.67,CON,1,141,84
2025/05/17 09:42:21.002218,0.0,udp,8.8.8.8,192.168.150.67,CON,1,107,64
2025/05/17 09:42:21.400898,0.0,udp,8.8.8.8,192.168.150.67,CON,1,127,76
2025/05/17 09:42:25.951035,0.0,udp,8.8.8.8,192.168.150.67,CON,1,102,61
2025/05/17 09:42:25.944434,0.0,udp,8.8.8.8,192.168.150.67,CON,1,102,61
2025/05/17 09:42:21.023478,0.0,udp,8.8.8.8,192.168.150.67,CON,1,119,71
2025/05/17 09:42:25.974931,0.0,udp,8.8.8.8,192.168.150.67,CON,1,117,70
2025/05/17 09:42:25.951035,0.0,udp,8.8.8.8,192.168.150.67,CON,1,146,87
2025/05/17 09:42:25.944434,0.0,udp,8.8.8.8,192.168.150.67,CON,1,146,87
2025/05/17 09:42:25.960752,0.0,udp,8.8.8.8,192.168.150.67,CON,1,141,84
2025/05/17 09:42:25.942528,0.0,udp,8.8.8.8,192.168.150.67,CON,1,126,75
2025/05/17 09:42:25.974286,0.0,udp,8.8.8.8,192.168.150.67,CON,1,158,94
2025/05/17 09:42:25.977824,0.0,udp,8.8.8.8,192.168.150.67,CON,1,117,70
2025/05/17 09:42:25.944434,0.0,udp,8.8.8.8,192.168.150.67,CON,1,102,61
2025/05/17 09:42:25.974286,0.0,udp,8.8.8.8,192.168.150.67,CON,1,158,94
2025/05/17 09:42:25.937335,0.0,udp,8.8.8.8,192.168.150.67,CON,1,126,75
2025/05/17 09:42:26.037537,0.13032794,other,,,CON,13,7845,4707
2025/05/17 09:42:26.607439,0.129093886,other,,,CON,11,9176,5505
2025/05/17 09:42:26.019953,0.147911072,other,,,CON,12,7760,4656
2025/05/17 09:42:26.017277,0.150587082,other,,,CON,12,7761,4656
2025/05/17 09:42:24.781205,0.0,other,,,CON,1,86,51
2025/05/17 09:42:21.170264,0.246819973,other,,,CON,18,9539,5723
2025/05/17 09:42:21.714566,1.086641073,other,,,CON,18,7490,4494
2025/05/17 09:42:21.832555,0.701551913,other,,,CON,7,4126,2475
2025/05/17 09:42:22.990366,2.296986103,other,,,CON,2,172,103
2025/05/17 09:42:26.019953,0.645414114,other,,,CON,24,9696,5817
2025/05/17 09:42:26.022228,0.228270054,other,,,CON,14,7075,4245
2025/05/17 09:42:26.030829,0.21758914,other,,,CON,14,7075,4245
2025/05/17 09:42:26.017277,0.150587082,other,,,CON,6,4165,2499
2025/05/17 09:42:26.017277,0.150587082,other,,,CON,7,4239,2543
2025/05/17 09:42:22.885152,4.473572969,other,,,CON,14,10516,6309
2025/05/17 09:42:25.988117,0.220860005,other,,,CON,11,5022,3013
2025/05/17 09:42:26.542141,0.194669009,other,,,CON,10,4768,2860
2025/05/17 09:42:25.975933,0.233126879,other,,,CON,11,5020,3012
2025/05/17 09:42:25.975421,0.233617067,other,,,CON,12,5139,3083
2025/05/17 09:42:24.651262,0.0,other,,,CON,1,75,45
2025/05/17 09:42:21.015376,0.401747942,other,,,CON,14,3379,2027
2025/05/17 09:42:21.027025,0.273060083,other,,,CON,6,875,525
2025/05/17 09:42:21.401799,6.192695141,other,,,CON,13,3641,2184
2025/05/17 09:42:21.401994,6.192733049,other,,,CON,7,2427,1456
2025/05/17 09:42:21.663790,0.0,other,,,CON,1,86,51
2025/05/17 09:42:25.946619,1.648508072,other,,,CON,18,4215,2529
2025/05/17 09:42:25.951596,1.643192052,other,,,CON,12,3190,1914
2025/05/17 09:42:25.951788,1.64338398,other,,,CON,12,3158,1894
2025/05/17 09:42:25.975676,1.619184017,other,,,CON,7,2361,1416
2025/05/17 09:42:25.976066,1.618989944,other,,,CON,7,2361,1416
2025/05/17 09:42:22.420988,4.441380978,other,,,CON,18,6730,4038
2025/05/17 09:42:21.141916,0.158125877,other,,,CON,5,1538,922
